station_id,longitude,latitude,easting,northing,elevation,time_minutes,reading
301,30.12666,-24.07668,1430372.28,7306880.44,1084.0,0.0,1950.31
273,29.31667,-24.88167,1341956.11,7222322.83,873.85,103.0,2069.08
274,29.33501,-24.35167,1347427.9,7281300.36,976.57,162.0,2004.51
275,29.345,-24.23666,1349222.37,7294062.56,1108.24,172.0,1952.99
276,29.37,-24.655,1348938.03,7247261.59,866.84,213.0,2055.18
277,29.38855,-24.05894,1354870.97,7313611.8,1383.9,274.0,1913.04
278,29.40833,-24.62334,1353061.57,7250551.63,872.94,325.0,2063.74
279,29.42999,-24.505,1356082.6,7263612.0,878.73,335.0,2058.07
280,29.44501,-24.94501,1354567.86,7214450.54,862.27,379.0,2081.22
281,29.46025,-24.07021,1362137.2,7311911.51,1413.2,460.0,1898.64
282,29.47501,-24.53999,1360435.1,7259426.63,834.53,507.0,2085.04
283,29.52255,-24.14111,1368033.17,7303614.82,1347.2,545.0,1910.79
284,29.545,-24.49001,1367923.12,7264557.43,818.99,579.0,2084.74
285,29.55499,-24.57333,1368362.29,7255200.52,823.26,586.0,2085.82
286,29.57333,-24.63,1369836.25,7248762.36,898.24,592.0,2073.42
287,29.60167,-24.52499,1373462.79,7260293.95,828.44,602.0,2081.98
288,29.645,-24.56168,1377626.24,7255922.61,924.14,608.0,2079.43
289,29.6875,-24.12833,1385008.17,7303995.52,1800.0,646.0,1818.4
290,29.74167,-24.64,1386930.54,7246557.25,1048.5,697.0,2078.62
291,29.755,-24.41333,1389906.94,7271761.16,776.32,719.0,2093.92
292,29.80833,-24.72,1393151.11,7237192.96,1239.61,751.0,2054.32
293,29.85001,-24.74167,1397241.83,7234498.79,1380.73,756.0,2031.95
301,30.12666,-24.07668,1430372.28,7306880.44,1084.0,830.0,1983.51
