station_id,longitude,latitude,easting,northing,elevation,time_minutes,reading
141,30.01639,-25.97722,1404827.59,7095483.24,1650.7,0.0,2172.94
84,28.58347,-25.83536,1261377.77,7120505.56,1454.0,143.0,2205.02
85,28.60896,-25.47177,1266288.05,7160843.49,1239.9,184.0,2221.48
86,28.6329,-25.27931,1269939.05,7182136.81,1049.9,203.0,2228.46
87,28.63901,-25.02795,1272153.64,7210094.08,1019.4,229.0,2208.41
88,28.65929,-25.57227,1270727.26,7149358.12,1386.2,278.0,2195.89
89,28.68578,-25.12886,1276256.53,7198585.22,984.0,327.0,2225.02
90,28.71687,-25.4567,1277294.71,7161890.61,1405.2,355.0,2167.49
91,28.72331,-25.74481,1276065.36,7129764.88,1439.9,380.0,2208.4
92,28.74933,-25.40129,1280937.58,7167870.58,1388.0,409.0,2163.76
93,28.76787,-25.28824,1283548.57,7180352.92,1155.1,419.0,2205.28
94,28.78389,-25.99124,1280538.93,7101956.11,1519.2,483.0,2236.73
95,28.80284,-25.35629,1286645.61,7172565.97,1432.7,539.0,2158.09
96,28.82713,-25.0638,1291012.02,7205003.62,969.6,564.0,2229.09
97,28.83708,-25.5957,1288532.18,7145693.3,1436.3,610.0,2193.79
98,28.86336,-25.02509,1294940.39,7209101.48,969.8,668.0,2230.03
99,28.89302,-25.82732,1292630.94,7119553.54,1392.6,736.0,2211.93
100,28.90314,-25.07349,1298661.41,7203472.65,943.0,799.0,2241.23
101,28.93027,-25.12009,1301107.56,7198118.46,949.1,804.0,2242.13
102,28.96875,-25.28749,1303898.93,7179235.31,1314.7,820.0,2195.54
103,28.98949,-25.83623,1302296.9,7117969.67,1421.9,871.0,2222.26
104,29.01556,-25.20917,1309165.07,7187677.91,1004.3,928.0,2256.78
141,30.01639,-25.97722,1404827.59,7095483.24,1650.7,1030.0,2203.84
