station_id,longitude,latitude,easting,northing,elevation,time_minutes,reading
301,30.12666,-24.07668,1430372.28,7306880.44,1084.0,0.0,1961.01
294,29.87583,-24.47197,1401830.58,7264425.3,907.0,45.0,2064.63
295,29.92999,-24.51167,1407074.24,7259635.25,1075.32,50.0,2003.57
296,29.98334,-24.87167,1409868.69,7219096.27,1016.5,83.0,2078.19
297,30.0325,-24.62117,1416735.54,7246725.07,1554.0,108.0,1944.49
298,30.06,-24.47833,1420598.48,7262485.16,848.86,123.0,2083.57
299,30.075,-24.42,1422561.63,7268895.91,766.87,128.0,2082.08
300,30.09833,-24.35834,1425401.85,7275622.45,707.13,134.0,2067.2
302,30.17084,-24.1925,1434047.93,7293649.25,1625.0,150.0,1863.76
303,30.21918,-24.01167,1440338.43,7313515.89,628.0,170.0,2072.39
304,30.32333,-24.47083,1447566.83,7261518.28,1378.0,221.0,1912.42
305,30.39999,-24.65167,1454013.9,7240781.89,962.24,239.0,2022.77
306,30.44167,-24.71249,1457797.27,7233693.0,1387.0,245.0,1946.73
307,30.46417,-24.43832,1462217.17,7264163.49,569.0,270.0,2079.41
308,30.50999,-24.86833,1463546.31,7215795.33,1517.0,307.0,1929.1
309,30.575,-24.85333,1470291.75,7217002.85,1220.41,312.0,1989.19
310,30.67667,-24.00999,1487306.65,7310523.65,487.37,387.0,2107.65
311,30.83,-24.15833,1501880.6,7292835.71,450.79,409.0,2131.6
312,30.84332,-24.93167,1497014.44,7206277.07,1440.17,486.0,1962.13
313,30.91167,-24.955,1503789.95,7203157.14,971.39,492.0,2059.15
301,30.12666,-24.07668,1430372.28,7306880.44,1084.0,594.0,1984.77
