station_id,longitude,latitude,easting,northing,elevation,time_minutes,reading
103,18.50278,-32.42999,-869085.17,6317784.37,19.3,0.0,2068.95
102,18.4939,-32.85083,-863332.96,6270394.77,62.0,38.0,2082.89
104,18.5175,-32.33833,-869107.57,6328276.69,215.8,86.0,2024.14
105,18.535,-32.94221,-857998.94,6260679.4,13.1,141.0,2100.06
106,18.54417,-32.26418,-867711.63,6336958.77,83.3,200.0,2041.73
107,18.55333,-32.61722,-861355.2,6297419.98,472.1,231.0,2004.1
108,18.57889,-32.64806,-858445.18,6294293.43,430.4,235.0,2012.53
109,18.58583,-32.435,-861095.02,6318315.72,117.4,253.0,2050.92
110,18.59721,-32.54832,-858254.67,6305736.78,85.9,263.0,2073.99
111,18.61028,-32.86528,-852075.77,6270314.37,71.2,292.0,2089.68
112,18.62666,-32.5175,-855930.32,6309584.99,24.3,325.0,2082.33
113,18.6311,-32.71638,-852423.03,6287308.33,546.3,344.0,1987.84
114,18.64999,-32.17944,-858909.31,6347863.35,187.8,394.0,2009.26
115,18.66611,-32.81361,-847589.59,6276850.82,782.7,449.0,1941.58
116,18.67223,-32.99139,-844239.59,6256972.27,224.1,467.0,2067.37
117,18.68056,-32.13083,-856730.64,6353721.67,634.1,553.0,1912.85
118,18.70084,-32.32777,-851784.39,6331863.13,443.6,573.0,1972.79
103,18.50278,-32.42999,-869085.17,6317784.37,19.3,591.0,2092.59
