station_id,longitude,latitude,easting,northing,elevation,time_minutes,reading
0,18.34444,-34.12971,255105.43,6220276.33,32.2,0.0,2537.29
37,18.55641,-33.84975,273917.01,6251816.84,58.58,47.0,2493.92
38,18.55667,-33.79944,273808.54,6257397.47,80.0,54.0,2484.02
39,18.56111,-33.94389,274599.99,6241385.69,36.0,71.0,2511.92
40,18.5625,-33.75471,274230.96,6262371.39,55.2,99.0,2484.42
41,18.56833,-33.88693,275117.71,6247719.23,51.4,116.0,2496.27
42,18.575,-33.67917,275192.06,6270776.96,191.5,149.0,2448.27
43,18.58221,-33.77361,276106.18,6260318.18,208.2,160.0,2449.13
44,18.58305,-33.71584,276033.75,6266727.36,138.8,167.0,2461.06
45,18.58472,-33.73528,276239.03,6264574.87,102.7,170.0,2469.96
46,18.58722,-33.81277,276672.01,6255985.74,268.0,179.0,2436.73
47,18.59805,-33.98666,278125.89,6236722.48,50.0,207.0,2505.12
48,18.60056,-33.68443,277575.68,6270248.94,72.0,250.0,2466.84
49,18.61028,-33.70667,278534.02,6267803.2,69.3,254.0,2468.12
50,18.61472,-33.86694,279357.36,6250037.0,234.9,276.0,2443.62
51,18.6161,-33.79639,279303.67,6257864.79,283.8,284.0,2424.35
52,18.61945,-33.7625,279527.0,6261630.73,94.8,289.0,2465.82
53,18.62193,-33.74278,279706.26,6263823.19,92.2,292.0,2463.63
54,18.62889,-33.8364,280590.27,6253454.58,252.7,305.0,2431.17
0,18.34444,-34.12971,255105.43,6220276.33,32.2,362.0,2522.81
