station_id,longitude,latitude,easting,northing,elevation,time_minutes,reading
0,18.34444,-34.12971,255105.43,6220276.33,32.2,0.0,2544.12
19,18.37361,-33.95972,257311.95,6239201.71,7.9,22.0,2523.81
20,18.38167,-33.92168,257949.19,6243440.2,24.69,27.0,2519.0
21,18.41167,-33.89944,260661.04,6245977.44,6.7,31.0,2524.83
22,18.41861,-33.92111,261363.39,6243589.98,24.3,34.0,2521.49
23,18.4375,-33.73473,262595.07,6264306.55,19.8,57.0,2505.26
24,18.43971,-33.92751,263332.19,6242928.99,10.3,81.0,2524.1
25,18.44667,-33.90556,263915.14,6245379.68,2.4,84.0,2524.47
26,18.44861,-33.69778,263523.25,6268430.41,21.8,113.0,2498.37
27,18.45444,-33.97221,264817.24,6238004.82,59.4,156.0,2511.48
28,18.46611,-33.75667,265306.16,6261938.6,231.2,182.0,2457.41
29,18.46832,-33.95168,266043.68,6240313.75,38.4,208.0,2516.67
30,18.48334,-33.89166,267268.75,6247005.19,5.3,217.0,2519.25
31,18.49722,-33.72917,268114.28,6265059.18,136.4,239.0,2475.77
32,18.50667,-33.66417,268815.88,6272289.75,111.5,247.0,2475.94
33,18.51028,-33.87361,269712.13,6249067.96,26.6,271.0,2511.21
34,18.51279,-33.78389,269703.7,6259024.88,38.3,284.0,2497.4
35,18.52417,-33.9164,271111.64,6244352.94,14.6,301.0,2517.22
36,18.53574,-33.81841,271920.87,6255247.24,17.18,315.0,2503.9
0,18.34444,-34.12971,255105.43,6220276.33,32.2,360.0,2536.92
