station_id,longitude,latitude,easting,northing,elevation,time_minutes,reading
0,18.34444,-34.12971,255105.43,6220276.33,32.2,0.0,2555.08
1,18.37418,-34.19583,258037.64,6213013.01,18.4,8.0,2565.12
2,18.40388,-34.23972,260899.25,6208214.71,25.0,14.0,2569.49
3,18.41112,-34.16444,261353.99,6216582.03,228.7,23.0,2514.59
4,18.42557,-34.29778,263060.44,6201825.21,104.0,41.0,2560.43
5,18.4586,-34.205,265844.02,6212193.18,8.9,52.0,2559.84
6,18.48611,-34.08528,268052.07,6225535.49,19.0,66.0,2539.93
7,18.50333,-34.03555,269506.57,6231090.44,15.1,75.0,2537.01
8,18.54388,-34.07861,273365.76,6226404.98,34.7,81.0,2536.94
9,18.59306,-34.04916,277827.86,6229779.46,59.6,89.0,2530.35
10,18.6525,-34.07167,283372.95,6227410.34,64.8,96.0,2532.21
11,18.66722,-34.01418,284586.18,6233817.86,43.9,105.0,2529.27
12,18.71722,-34.06194,289322.41,6228624.82,75.5,112.0,2527.23
13,18.71889,-34.03082,289399.59,6232079.83,19.3,116.0,2536.1
14,18.79668,-34.00307,296516.56,6235314.97,111.0,126.0,2499.35
15,18.81917,-34.08083,298777.81,6226735.15,15.4,137.0,2534.75
16,18.84778,-34.13861,301553.14,6220382.79,14.0,147.0,2544.3
17,18.855,-34.24028,302456.31,6209120.56,43.6,163.0,2548.86
18,18.88528,-34.09473,304910.65,6225321.75,296.5,181.0,2468.01
0,18.34444,-34.12971,255105.43,6220276.33,32.2,238.0,2547.94
